,Unnamed: 0,제작(수입)사,차명,생산기간,시정기간,대상수량,장치분류,결함내용,시정방법,기타문의,Title,Ministry,Date,Subject
0,0,메르세데스벤츠코리아(주),"A 220 Hatch , A 250 , A 220 Sedan",2018-06-21 ~ 2020-03-10,2024-08-09 ~,"1,069 대",승차 및 실내장치,계기반의 소프트웨어 오류로 인하여 계기반의 뒷면 안개등 식별표시가 법적 요구 사항을 만족하지 못할 수 있음에 따른 리콜 (뒷면 안개등은 정상적으로 작동함. 하지만 이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조(조종장치 등)의 5항을 만족하지 못할 수 있음)<대상차량별 생산일자>A 220 Hatch: 2018.08.16~2019.05.24A 250: 2018.06.21~2018.06.25A 220 Sedan: 2020.03.10,계기판 소프트웨어 업데이트,벤츠코리아 대표번호 080-001-1886,[벤츠] A 220 Hatch 등 3차종 - 뒷면 안개등 표시 관련 리콜,국토교통부,2024-08-09,[벤츠] A 220 Hatch 등 3차종 - 뒷면 안개등 표시 관련 리콜
1,1,메르세데스벤츠코리아(주),C 300 4MATIC,2023-05-12 ~ 2023-12-02,2024-08-09 ~,2 대,전기장치,"생산 공정 오류로 인해 12V 및 48V 접지선의 연결 볼트가 제대로 조여지지 않았을 수 있으며, 이러한 경우 접지선의 케이블 터미널이 정확히 고정되지 않아 전기 저항이 증가할 수 있으며 높은 전류가 흐를 경우 12V 및 48V의 접지선 연결 부위에 온도가 상승하여 화재의 위험을 완전히 배제할 수 없음이 확인됨에 따른 리콜",12V 및 48V 접지 연결 볼트 점검 및 필요 시 재장착,벤츠코리아 대표번호 080-001-1886,[벤츠] C 300 4MATIC - 12V 및 48V 접지 연결 볼트 관련 리콜,국토교통부,2024-08-09,[벤츠] C 300 4MATIC - 12V 및 48V 접지 연결 볼트 관련 리콜
2,2,비엠더블유코리아(주),"BMW X5 xDrive35d, BMW M550d xDrive, BMW 640i",2014-02-11 ~ 2014-04-15,2024-08-08 ~,3 대,실내안전장치,"운전석 전방 에어백 인플레이터 하우징의 용접 불량으로 극히 드문 경우, 인플레이터 하우징이 파열될 수 있으며 이런 경우 운전자에게 부상을 입힐 수 있는 가능성이 확인됨에 따른 리콜",운전석 전방 에어백 모듈을 교체함,비엠더블유 대표번호 080-269-5181,[비엠더블유] BMW X5 xDrive35d 등 3차종 - 운전석 전방 에어백 모듈 관련 리콜,국토교통부,2024-08-08,[비엠더블유] BMW X5 xDrive35d 등 3차종 - 운전석 전방 에어백 모듈 관련 리콜
3,3,비엠더블유코리아(주),BMW 1 Series Sport 등 71차종,2004-03-17 ~ 2017-11-08,2024-08-08 ~,"113,197 대",실내안전장치,"최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW에서 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인됨. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며, 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있음. 이런 경우 사고 시 운전석 전방 에어백이 비정상적으로 전개되어 인플레이터 본체가 파열될 수 있으며, 운전자에게 상해를 입힐 수 있는 가능성이 확인됨에 따른 리콜<대상차명>BMW 1 Series Sport, BMW 1 Series Urban, BMW 114i, BMW 116d, BMW 116I, BMW 118d, BMW 118I, BMW 120d, BMW 120i, BMW 218D, BMW 220d Coupe, BMW 316d, BMW 318D, BMW 318i, BMW 320d, BMW 320d ED, BMW 320d EffDyn Edition, BMW 320d EfficientDynamics Edition, BMW 320d Gran Turismo, BMW 320d Gran Turismo xDrive, BMW 320d Touring, BMW 320d xDrive, BMW 320d xDrive Gran Turismo, BMW 320d xDrive Touring, BMW 320i, BMW 320I, BMW 323i, BMW 325d, BMW 325i, BMW 325xi, BMW 328i, BMW 328I, BMW 328i Gran Turismo, BMW 328xi, BMW 330d, BMW 330D XDR, BMW 330i, BMW 330xi, BMW 335d, BMW 335i, BMW 335xi, BMW 420d Coupe, BMW 420d Gran Coupe, BMW 420d xDrive Coupe, BMW 420d xDrive Gran Coupe, BMW 420i Coupe, BMW 420i Gran Coupe, BMW 518D, BMW 520d, BMW 520d Touring, BMW 520D XDR, BMW 520d xDrive, BMW 520I, BMW 523i, BMW 525d, BMW 528i, BMW 528i xDrive,BMW 530D, BMW 535i, BMW 535i GT, BMW 535i GT xDrive, BMW 550i xDrive, BMW 640d xDrive Gran Coupe, BMW 640i Gran Coupe, BMW 650I, BMW Gran Turismo 30d,BMW Gran Turismo 30d xDrive, BMW Gran Turismo 35i xDrive, BMW Gran Turismo EfficientDynamics Edition, BMW GT 20d, BMW GT<대상차량별 생산일자는 상이할 수 있으며, 첨부된 파일(비엠더블유 - 비엠더블유_운전석 전방 에어백 모듈 리콜 대상 차량별 생산일자)을 참고하여 주시기 바랍니다.>",스티어링 휠을 점검하고 필요 시 운전석 전방 에어백 모듈을 교체함(신속한 리콜 점검과 고객님의 편의를 위해 온라인 웹 사이트를 통한 점검을 실시(안내문 내용 참조)합니다. 다만 온라인 점검 방법이 어려우실 경우 서비스센터 방문을 통해서 점검 및 조치를 받으실 수 있습니다.),비엠더블유 대표번호 080-269-5181,[비엠더블유] BMW 1 Series Sport 등 71차종 - 운전석 전방 에어백 모듈 관련 리콜,국토교통부,2024-08-08,[비엠더블유] BMW 1 Series Sport 등 71차종 - 운전석 전방 에어백 모듈 관련 리콜
4,4,메르세데스벤츠코리아(주),E 450 4MATIC 등 21차종,2022-02-14 ~ 2024-03-02,2024-08-05 ~,"12,918 대",동력전달장치,"파워트레인 컨트롤 유닛(CPC)의 코딩 값 중 자기진단 장치(OBD) 관련 항목이 잘못 설정되었을 수 있으며, 일부 파워트레인 컨트롤 유닛(CPC) 오류가 발생할 경우 오류에 대한 시스템 응답은 정상적으로 작동하나 계기반에 엔진 경고등(MIL)이 점등되지 않을 수 있는 가능성에 따른 리콜<대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은 제작사 고객센터(080-001-1886)으로 문의하여 주시기 바랍니다.>",파워트레인 컨트롤 유닛 SCN코딩 업데이트,벤츠코리아 대표번호 080-001-1886,[벤츠] E 450 4MATIC 등 21차종  - 파워트레인 컨트롤 유닛 관련 리콜,환경부,2024-08-05,[벤츠] E 450 4MATIC 등 21차종  - 파워트레인 컨트롤 유닛 관련 리콜
5,5,볼보트럭코리아(주),FH 트랙터,2024-03-08 ~ 2024-04-11,2024-08-05 ~,66 대,주행장치,"조향장치의 운전자지원첨단조향장치 (파일럿 어시스트) 소프트웨어 오류로 파일럿 어시스트 기능 작동 중 운전자가 조향 핸들을 잡고 있지 않음에도 경고등 미 작동 및 강제 해제기능 미 작동 가능성이 있으며, 이는 자동차 안전기준 부적합 사항임이 확인됨에 따른 리콜",서비스센터에서 대상 자동차에 대하여 운전자지원첨단조향장치(파일럿 어시스트) 소프트웨어 업데이트 작업 시행,볼보트럭코리아 대표번호 080-038-1000,[볼보트럭] FH 트랙터 - 운전자지원첨단조향장치(파일럿 어시스트) 관련 리콜,국토교통부,2024-08-05,[볼보트럭] FH 트랙터 - 운전자지원첨단조향장치(파일럿 어시스트) 관련 리콜
6,6,기아주식회사,쏘울 (AM),2010-06-09 ~ 2013-10-01,2024-08-05 ~,"15,763 대",제동장치,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성에 따른 리콜,엔진룸 정션박스내 HECU 관련 퓨즈를 개선품으로 교환(합선 발생 시 전원 차단하여 소손 예방),기아자동차 대표번호 080-200-2000,[기아] 쏘울 - 전자제어유압장치(HECU) 관련 리콜,국토교통부,2024-08-05,[기아] 쏘울 - 전자제어유압장치(HECU) 관련 리콜
7,7,포드세일즈서비스코리아(유),"2021-2023년식 Navigator, Exp",2020-11-19 ~ 2023-05-14,2024-08-02 ~,"1,201 대",기타장치,"담당 부서의 실수로 취급 설명서(사용자 매뉴얼)에 3열 가운데 좌석 머리 받침대 조작 및 제거 방법에 대한 설명이 누락되어, 올바른 조정 및 제거/설치가 불가하여 충돌 시 부상 위험이 높아질 수 있는 가능성이 확인됨에 따른 리콜 (이로 인해 FMVSS 202a, “머리 지지대 (Head Restraints)” - S4.7 취급 설명서(Information in owner's manual)를 준수하지 못함. 해당 차량은 한미 FTA로 수입된 차량으로 미국 기준(FMVSS) 적용 차량 입니다)",3열 가운데 머리 받침대의 조정 또는 제거/설치 방법에 설명된 인쇄물을 고객 통지문과 함께 발송함. 고객 통지문을 받지 못한 경우에는 서비스센터 방문 시 인쇄물을 배포함.(배포 받으신 인쇄물은 글러브 박스 취급설명서 및/또는 사용자 가이드 북과 함께 보관하시기 바랍니다.),선인자동차: 02-2216-1100 / 프리미어모터스: 031-360-1500 / 더파크모터스: 033-762-0041 / 이한모터스: 062-515-1020,[포드] Navigator 등 2차종 - 취급 설명서(사용자 매뉴얼 - 3열 가운데 좌석 머리 받침대 조작 및 제거 방법에 대한 설명 누락) 관련 리콜,국토교통부,2024-08-02,[포드] Navigator 등 2차종 - 취급 설명서(사용자 매뉴얼 - 3열 가운데 좌석 머리 받침대 조작 및 제거 방법에 대한 설명 누락) 관련 리콜
8,8,(주) 한국모터트레이딩,LTS125(악시스),2018-05-07 ~ 2019-08-02,2024-08-02 ~,874 대,주행장치,"반복적 장기간 가혹 조건 운행 시 앞 바퀴 속도기어와 계기판을 연결하는 속도 케이블(내부 강선 줄)이 필요 이상의 굽힘 및 진동으로 인해 케이블 강선 끝(팁) 부분이 계기판 기어 부분과 서로 부딪쳐서 변형이 발생할 수 있으며, 이런 경우 주행 시 계기판 부근 이상 소음이 발생할 수 있고, 계기판의 속도가 표시되지 않을 수 있어 주행 중 속도 정보를 운전자에게 제공하지 못하여 안전운행에 지장을 줄 수 있음이 확인됨에 따른 리콜",1. 개선된 속도케이블 교체2. 계기판 (연관 부품 교환)<리콜 조치 시 이상이 확인된 연관성 부품 대해서도 무상보증으로 진행>,한국모터트레이딩 대표번호 02-878-7100,[야마하] LTS125(악시스) - 속도 케이블(계기판) 관련 리콜,국토교통부,2024-08-02,[야마하] LTS125(악시스) - 속도 케이블(계기판) 관련 리콜
9,9,비엠더블유코리아(주),"BMW X5 M Competition, BMW X5 M60i xDrive, BMW X6 M Competition, BMW X6 M60i xDrive, BMW X7 M60i xDrive, BMW XM, BMW XM Label",2022-07-15 ~ 2024-03-08,2024-08-01 ~,"1,961 대",원동기,"엔진제어장치의 소프트웨어 오류로 인해 VVL 관련 자기 진단에 의한 MIL 점등이 불가하여, 자기진단장치를 통한 정상적인 배출가스 감시를 방해할 수 있음에 따른 리콜<대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은제작사 고객센터(080-269-5181)로 문의하여 주시기 바랍니다.>",엔진제어장치의 소프트웨어를 업데이트 함,비엠더블유 대표번호 080-269-5181,[비엠더블유] BMW X5 M Competition 등 7차종 - 엔진제어장치의 소프트웨어 관련 리콜,환경부,2024-08-01,[비엠더블유] BMW X5 M Competition 등 7차종 - 엔진제어장치의 소프트웨어 관련 리콜
